entry_id,light,temp,hum,mov,ping
21624,0,20.2,85,0,55
21625,0,20.2,85,0,53
21626,0,20.2,85,0,69
21627,0,20.2,85,0,52
21628,0,20.2,84.9,0,52
21629,0.3,20.2,84.9,0,55
21630,0,20.2,84.9,0,55
21631,0,20.1,84.9,0,52
21632,0.4,20.1,84.9,0,52
21633,0,20.1,84.9,0,53
21634,0.1,20.1,84.9,0,53
21635,0.3,20.1,84.9,0,53
21636,0,20.1,84.9,0,52
21637,0.1,20.1,84.8,0,52
21638,0,20.2,84.8,0,54
21639,0.2,20.1,84.8,0,54
21640,0,20.1,84.8,0,54
21641,0,20.1,84.8,0,53
21642,0,20.1,84.8,0,53
21643,0.2,20.1,84.8,0,66
21644,0.3,20.1,84.8,0,66
21645,0,20.1,84.8,0,56
21646,0,20.1,84.8,0,56
21647,0,20.1,84.9,0,57
21648,0,20.1,84.8,0,51
21649,0.1,20.1,84.8,0,55
21650,0,20.1,84.8,0,63
21651,0,20.1,84.8,0,63
21652,0,20.1,84.8,0,63
21653,0,20.1,84.7,0,54
21654,0,20.1,84.7,0,54
21655,0.1,20.1,84.7,0,72
21656,0,20.1,84.7,1,72
21657,0,20.1,84.7,1,72
21658,0.3,20.1,84.7,1,57
21659,0.1,20.1,84.7,0,57
21660,0.1,20.1,84.7,1,57
21661,0.5,20.1,84.7,1,50
21662,0.2,20.1,84.7,1,50
21663,0.3,20.2,84.3,0,50
21664,0.3,20.2,84.3,0,50
21665,0.2,20.3,83.7,0,50
21666,0.1,20.3,83.7,1,57
21667,0.3,20.3,83.7,1,57
21668,0.3,20.4,83.5,0,57
21669,0.4,20.4,83.5,0,52
21670,0.3,20.5,83.3,0,52
21671,0.2,20.6,83.2,0,53
21672,0.3,20.6,83.1,0,53
21673,0.7,20.6,83.1,0,53
21674,0.6,20.6,83.2,1,77
21675,0.4,20.6,83.2,1,77
21676,0.3,20.6,83.1,1,54
21677,1,20.6,83,0,54
21678,0.7,20.6,83,0,59
21679,0.7,20.6,82.9,1,59
21680,0.8,20.6,82.9,1,59
21681,0.7,20.6,83.1,0,53
21682,0.7,20.6,83.1,1,53
21683,0.7,20.6,83.2,1,53
21684,0.9,20.6,83.2,1,54
21685,0.5,20.6,83,1,54
21686,0.5,20.6,83,1,54
21687,0.5,20.6,83,0,61
21688,0.3,20.6,83.2,1,61
21689,0.5,20.6,83.2,1,56
21690,0.5,20.6,83.3,0,56
21691,0.6,20.6,83.3,0,53
21692,0.7,20.7,83.3,0,53
21693,0.6,20.7,83.3,1,52
21694,0.7,20.7,83.3,1,52
21695,0.9,20.7,83.2,1,52
21696,0.7,20.7,83.2,0,56
21697,1.1,20.7,83.3,0,56
21698,0.6,20.7,83.1,1,56
21699,0.6,20.7,83.1,1,54
21700,0.5,20.8,83.3,1,54
21701,0.4,20.8,83.2,1,60
21702,0.3,20.8,83.2,1,60
21703,0.4,20.8,83.3,1,60
21704,0.4,20.8,83.3,1,53
21705,0.4,20.7,83,0,55
21706,0.7,20.7,83,1,55
21707,0.7,20.8,83.1,1,55
21708,0.5,20.8,83.1,1,53
21709,0.8,20.8,83.1,0,53
21710,0.8,20.8,83.1,1,53
21711,0.5,20.7,83.2,1,54
21712,0.6,20.7,83.3,0,54
21713,0.6,20.7,83.7,0,54
21714,0.3,20.7,83.6,1,55
21715,0.9,20.7,83.6,1,55
21716,2.2,20.7,83.8,1,55
21717,5.3,20.7,83.8,1,62
21718,4.6,20.7,83.7,1,62
21719,4.3,20.7,83.7,1,62
21720,4.5,20.8,84.1,1,58
21721,4.1,20.8,84.1,1,58
21722,3.9,20.8,83.7,0,50
21723,4.1,20.8,83.7,1,50
